rgn_id,taxa_code,year,tonnes
1.0,Blue shrimp_1,1983,16.0
1.0,Blue shrimp_1,1984,51.0
1.0,Blue shrimp_1,1985,87.0
1.0,Blue shrimp_1,1986,59.0
1.0,Blue shrimp_1,1987,87.0
1.0,Blue shrimp_1,1988,217.0
1.0,Blue shrimp_1,1989,296.0
1.0,Blue shrimp_1,1990,540.0
1.0,Blue shrimp_1,1991,644.0
1.0,Blue shrimp_1,1992,733.0
1.0,Blue shrimp_1,1993,631.0
1.0,Blue shrimp_1,1994,691.0
1.0,Blue shrimp_1,1995,879.0
1.0,Blue shrimp_1,1996,992.0
1.0,Blue shrimp_1,1997,1107.0
1.0,Blue shrimp_1,1998,1569.0
1.0,Blue shrimp_1,1999,1820.0
1.0,Blue shrimp_1,2000,1730.0
1.0,Blue shrimp_1,2001,1837.0
1.0,Blue shrimp_1,2002,1844.0
1.0,Blue shrimp_1,2003,1705.0
1.0,Blue shrimp_1,2004,2211.0
1.0,Blue shrimp_1,2005,2440.0
1.0,Blue shrimp_1,2006,2278.0
1.0,Blue shrimp_1,2007,1843.0
1.0,Blue shrimp_1,2008,2036.0
1.0,Blue shrimp_1,2009,1860.0
1.0,Blue shrimp_1,2010,1156.0
1.0,Blue shrimp_1,2011,1539.0
1.0,Blue shrimp_1,2012,1643.0
1.0,Blue shrimp_1,2013,1573.0
1.0,Blue shrimp_1,2014,1636.0
1.0,Pacific cupped oyster_2,1989,92.0
1.0,Pacific cupped oyster_2,1990,91.0
1.0,Pacific cupped oyster_2,1991,110.0
1.0,Pacific cupped oyster_2,1992,114.0
1.0,Pacific cupped oyster_2,1993,86.0
1.0,Pacific cupped oyster_2,1994,89.0
1.0,Pacific cupped oyster_2,1995,60.0
1.0,Pacific cupped oyster_2,1996,69.0
1.0,Pacific cupped oyster_2,1997,45.0
1.0,Pacific cupped oyster_2,1998,27.0
1.0,Pacific cupped oyster_2,1999,30.0
1.0,Pacific cupped oyster_2,2000,31.0
1.0,Pacific cupped oyster_2,2001,50.0
1.0,Pacific cupped oyster_2,2002,67.0
1.0,Pacific cupped oyster_2,2003,70.0
1.0,Pacific cupped oyster_2,2004,69.0
1.0,Pacific cupped oyster_2,2005,84.0
1.0,Pacific cupped oyster_2,2006,87.0
1.0,Pacific cupped oyster_2,2007,80.0
1.0,Pacific cupped oyster_2,2008,67.0
1.0,Pacific cupped oyster_2,2009,60.0
1.0,Pacific cupped oyster_2,2010,64.0
1.0,Pacific cupped oyster_2,2011,22.0
1.0,Pacific cupped oyster_2,2012,20.0
1.0,Pacific cupped oyster_2,2013,20.0
1.0,Pacific cupped oyster_2,2014,20.0
