"rgn_id","species","stock","year","tonnes","X","X.1"
1,"thon blanc","Thunnus alalunga",2012,1684,NA,NA
1,"thon blanc","Thunnus alalunga",2011,1669,NA,NA
1,"thon blanc","Thunnus alalunga",2010,1939,NA,NA
1,"thon blanc","Thunnus alalunga",2009,1649,NA,NA
1,"thon blanc","Thunnus alalunga",2008,1506,NA,NA
1,"thon jaune","Thunnus albacares",2012,549,NA,NA
1,"thon jaune","Thunnus albacares",2011,596,NA,NA
1,"thon jaune","Thunnus albacares",2010,505,NA,NA
1,"thon jaune","Thunnus albacares",2009,487,NA,NA
1,"thon jaune","Thunnus albacares",2008,426,NA,NA
1,"thon obèse","Thunnus obesus",2012,50,NA,NA
1,"thon obèse","Thunnus obesus",2011,48,NA,NA
1,"thon obèse","Thunnus obesus",2010,44,NA,NA
1,"thon obèse","Thunnus obesus",2009,51,NA,NA
1,"thon obèse","Thunnus obesus",2008,62,NA,NA
1,"espadon","Xiphias gladius",2012,11,NA,NA
1,"espadon","Xiphias gladius",2011,12,NA,NA
1,"espadon","Xiphias gladius",2010,8,NA,NA
1,"espadon","Xiphias gladius",2009,7,NA,NA
1,"espadon","Xiphias gladius",2008,15,NA,NA
1,"marlin rayé","Kajikia audax",2012,58,NA,NA
1,"marlin rayé","Kajikia audax",2011,73,NA,NA
1,"marlin rayé","Kajikia audax",2010,58,NA,NA
1,"marlin rayé","Kajikia audax",2009,58,NA,NA
1,"marlin rayé","Kajikia audax",2008,58,NA,NA
