rgn_id, Species,Year,Tonnes,,,,
1,ALBACORE,2015,48.189600,,,,
1,ALBACORE,2014,117.672200,,,,
1,ALBACORE,2013,84.908400,,,,
1,ALBACORE,2012,81.053200,,,,
1,ALBACORE,2011,96.230900,,,,
1,BIGEYE,2015,2.431200,,,,
1,BIGEYE,2014,4.054400,,,,
1,BIGEYE,2013,3.383700,,,,
1,BIGEYE,2012,2.445500,,,,
1,BIGEYE,2011,3.418900,,,,
1,BLACK MARLIN,2015,2.175600,,,,
1,BLACK MARLIN,2014,3.324300,,,,
1,BLACK MARLIN,2013,1.292100,,,,
1,BLACK MARLIN,2012,3.212800,,,,
1,BLACK MARLIN,2011,2.331500,,,,
1,BLUE MARLIN,2015,0.289800,,,,
1,BLUE MARLIN,2014,2.008400,,,,
1,BLUE MARLIN,2013,0.799800,,,,
1,BLUE MARLIN,2012,0.918000,,,,
1,BLUE MARLIN,2011,3.715400,,,,
1,SAILFISH (INDO-PACIFIC),2015,0.096800,,,,
1,SAILFISH (INDO-PACIFIC),2014,0.373300,,,,
1,SAILFISH (INDO-PACIFIC),2013,0.568700,,,,
1,SAILFISH (INDO-PACIFIC),2012,0.271300,,,,
1,SAILFISH (INDO-PACIFIC),2011,0.671200,,,,
1,SHORT-BILLED SPEARFISH,2015,0.918700,,,,
1,SHORT-BILLED SPEARFISH,2014,2.200900,,,,
1,SHORT-BILLED SPEARFISH,2013,0.884800,,,,
1,SHORT-BILLED SPEARFISH,2012,0.678800,,,,
1,SHORT-BILLED SPEARFISH,2011,1.332700,,,,
1,SKIPJACK,2015,1.156100,,,,
1,SKIPJACK,2014,4.068400,,,,
1,SKIPJACK,2013,1.433700,,,,
1,SKIPJACK,2012,1.953200,,,,
1,SKIPJACK,2011,2.337600,,,,
1,SOUTHERN BLUEFIN TUNA,2011,0.066200,,,,
1,STRIPED MARLIN,2015,1.904800,,,,
1,STRIPED MARLIN,2014,4.119700,,,,
1,STRIPED MARLIN,2013,4.554000,,,,
1,STRIPED MARLIN,2012,3.742100,,,,
1,STRIPED MARLIN,2011,4.820800,,,,
1,SWORDFISH,2015,0.441700,,,,
1,SWORDFISH,2014,1.712700,,,,
1,SWORDFISH,2013,2.139900,,,,
1,SWORDFISH,2012,1.372500,,,,
1,SWORDFISH,2011,1.534300,,,,
1,YELLOWFIN,2015,26.199900,,,,
1,YELLOWFIN,2014,47.751700,,,,
1,YELLOWFIN,2013,33.368900,,,,
1,YELLOWFIN,2012,27.408700,,,,
1,YELLOWFIN,2011,66.055100,,,,
