rgn_id,stock,year,metric,score,ref
1,Thunnus alalunga,2012,sbmsy,2.56,SPC
1,Thunnus alalunga,2011,sbmsy,2.97,SPC
1,Thunnus alalunga,2010,sbmsy,2.91,SPC
1,Thunnus alalunga,2009,sbmsy,3.2,SPC
1,Thunnus alalunga,2008,sbmsy,3.1,SPC
1,Thunnus albacares,2012,sbmsy,1.22,SPC
1,Thunnus albacares,2011,sbmsy,1.3,SPC
1,Thunnus albacares,2010,sbmsy,1.33,SPC
1,Thunnus albacares,2009,sbmsy,1.46,SPC
1,Thunnus albacares,2008,sbmsy,1.41,SPC
1,Thunnus obesus,2012,sbmsy,0.79,SPC
1,Thunnus obesus,2011,sbmsy,0.86,SPC
1,Thunnus obesus,2010,sbmsy,0.923,SPC
1,Thunnus obesus,2009,sbmsy,0.982,SPC
1,Thunnus obesus,2008,sbmsy,1.006,SPC
1,Xiphias gladius,2012,sbmsy,1.2,2014 atock assessment ISCT for West and Central North Pacific
1,Xiphias gladius,2011,sbmsy,1.13,2014 atock assessment ISCT for West and Central North Pacific
1,Xiphias gladius,2010,sbmsy,1.14,2014 atock assessment ISCT for West and Central North Pacific
1,Xiphias gladius,2009,sbmsy,1.13,2014 atock assessment ISCT for West and Central North Pacific
1,Xiphias gladius,2008,sbmsy,1.13,2014 atock assessment ISCT for West and Central North Pacific
1,Kajikia audax,2012,sbmsy,0.36,2015 atock assessment ISCT
1,Kajikia audax,2011,sbmsy,0.31,2015 atock assessment ISCT
1,Kajikia audax,2010,sbmsy,0.35,2015 atock assessment ISCT
1,Kajikia audax,2009,sbmsy,0.34,2015 atock assessment ISCT
1,Kajikia audax,2008,sbmsy,0.42,2016 atock assessment ISCT
